source_row,vehicle_group,source_full_item_name,source_item_name,system_category,source_item_group,source_unit,normalized_uom,item_code,item_name,catalog_type,stock_item,source_exclusive,source_vat,source_inclusive,vat_arithmetic_delta,price_status,status,review_reason
56,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine PUMP ASSY OIL D (Oil pump),PUMP ASSY OIL D (Oil pump),Engine Components,Auto Parts,PC,PCS,,,review,,1231333.00,221640.00,1452973.00,0.00,ready,review_duplicate_conflict,"Conflicting category, unit, or price variants"
57,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine ROD COMP-CON (Connecting rods),ROD COMP-CON (Connecting rods),Engine Components,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-ROD-COMP-CON-CONNECTING-RODS,Nissan vehicles – YD25 engine - ROD COMP-CON (Connecting rods),stock,1,4178226.00,752081.00,4930307.00,0.00,ready,ready,
58,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine PUMP INJECTION (Injector pump),PUMP INJECTION (Injector pump),Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-PUMP-INJECTION-INJECTOR-PUMP,Nissan vehicles – YD25 engine - PUMP INJECTION (Injector pump),stock,1,11788709.00,2121968.00,13910677.00,0.00,ready,ready,
59,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine injector pump service,injector pump service,Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-INJECTOR-PUMP-SERVICE,Nissan vehicles – YD25 engine - injector pump service,stock,1,9154516.00,1647813.00,10802329.00,0.00,ready,ready,
60,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Fluid Gasket (Sealant tube),Fluid Gasket (Sealant tube),Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-FLUID-GASKET-SEALANT-TUBE,Nissan vehicles – YD25 engine - Fluid Gasket (Sealant tube),stock,1,620105.00,111619.00,731724.00,0.00,ready,ready,
61,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine FAN COOLING,FAN COOLING,Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-FAN-COOLING,Nissan vehicles – YD25 engine - FAN COOLING,stock,1,779171.00,140251.00,919422.00,0.00,ready,ready,
62,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Canshaft pulley,Canshaft pulley,Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-CANSHAFT-PULLEY,Nissan vehicles – YD25 engine - Canshaft pulley,stock,1,534689.00,96244.00,630933.00,0.00,ready,ready,
63,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Crankshaft pulley,Crankshaft pulley,Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-CRANKSHAFT-PULLEY,Nissan vehicles – YD25 engine - Crankshaft pulley,stock,1,1083983.00,195117.00,1279100.00,0.00,ready,ready,
64,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine FAN ASSY-COND (AC fan shroud),FAN ASSY-COND (AC fan shroud),Engine Cooling System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-FAN-ASSY-COND-AC-FAN-SHROUD,Nissan vehicles – YD25 engine - FAN ASSY-COND (AC fan shroud),stock,1,306293.00,55133.00,361425.00,1.00,ready,ready,
65,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Shroud-rad.lowe (Cooling fan shroud),Shroud-rad.lowe (Cooling fan shroud),Engine Cooling System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-SHROUD-RAD-LOWE-COOLING-FAN-SHROUD,Nissan vehicles – YD25 engine - Shroud-rad.lowe (Cooling fan shroud),stock,1,993118.00,178761.00,1171879.00,0.00,ready,ready,
