name,item_code,price_list,price_list_rate,uom,currency,selling,buying,note,reference
,ASM-FORD-VEHICLES-T6-PARK-BRAKE-LEVER-HANDLE,Standard Selling,97560.00,PCS,UGX,1,0,Source VAT: 17561.00; source inclusive: 115121.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-HAND-BRAKE-CABLES,Standard Selling,658194.00,PCS,UGX,1,0,Source VAT: 118475.00; source inclusive: 776668.00; arithmetic delta: 1.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-MASTER-CYLINDER-KIT,Standard Selling,1153290.00,PCS,UGX,1,0,Source VAT: 207592.00; source inclusive: 1360883.00; arithmetic delta: -1.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-SKIMMING-DISC,Standard Selling,80645.00,Lump Sum,UGX,1,0,Source VAT: 14516.00; source inclusive: 95161.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-SKIMMING-DRUM,Standard Selling,80645.00,Lump Sum,UGX,1,0,Source VAT: 14516.00; source inclusive: 95161.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-WHEEL-CYLINDER-REPAIR-KIT,Standard Selling,432129.00,PCS,UGX,1,0,Source VAT: 77783.00; source inclusive: 509912.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-RETURN-SPRING-BRAKES,Standard Selling,16522.00,PCS,UGX,1,0,Source VAT: 2974.00; source inclusive: 19496.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-ARCHOR-PIN,Standard Selling,24727.00,PCS,UGX,1,0,Source VAT: 4451.00; source inclusive: 29178.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-BRAKE-SHIMS,Standard Selling,22288.00,PCS,UGX,1,0,Source VAT: 4012.00; source inclusive: 26300.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-BRAKE-BOLTS,Standard Selling,44636.00,PCS,UGX,1,0,Source VAT: 8035.00; source inclusive: 52671.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-BRAKE-FLEXIBLE-PIPES,Standard Selling,194065.00,PCS,UGX,1,0,Source VAT: 34932.00; source inclusive: 228996.00; arithmetic delta: 1.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-WHEEL-BEARING-SEALS,Standard Selling,59233.00,PCS,UGX,1,0,Source VAT: 10662.00; source inclusive: 69895.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-WHEEL-LOCKING-NUTS-WASHERS-AND-PIN,Standard Selling,132540.00,PCS,UGX,1,0,Source VAT: 23857.00; source inclusive: 156397.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-WHEEL-BEARINGS,Standard Selling,483305.00,PCS,UGX,1,0,Source VAT: 86995.00; source inclusive: 570300.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-WHEEL-CAP,Standard Selling,178036.00,PCS,UGX,1,0,Source VAT: 32046.00; source inclusive: 210082.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-WHEEL-CYLINDER,Standard Selling,432129.00,PCS,UGX,1,0,Source VAT: 77783.00; source inclusive: 509912.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-ENGINE-SERVICE-NEW-ENGINE-STATE-THE-COM,Standard Selling,35178741.00,PCS,UGX,1,0,Source VAT: 6332173.00; source inclusive: 41510914.00; arithmetic delta: 0.00,docs/item details.csv
