name,item_code,item_name,item_group,stock_uom,description,is_stock_item,is_sales_item,is_purchase_item,disabled
,ASM-NISSAN-VEHICLES-KA24-ENGINE-WRENCH-WHL-NUT-WHEEL-SPANNER,Nissan vehicles – KA24 engine - WRENCH WHL NUT (Wheel spanner),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-WHEEL-BOLT-WHEEL-STUD-FRONT,"Nissan vehicles – KA24 engine - WHEEL BOLT (Wheel stud, front)",Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-BOLT-HUB-WHEEL-STUD-REAR,"Nissan vehicles – KA24 engine - BOLT-HUB (Wheel stud,rear)",Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-COMPRESSOR-AC-PUMP,Nissan vehicles – KA24 engine - Compressor (AC pump),Air Conditioning System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Air Conditioning System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-PIPE-ASSY-FR-COOLER-HIGH-CONDENSER,Nissan vehicles – KA24 engine - Pipe Assy-Fr cooler High (Condenser),Air Conditioning System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Air Conditioning System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-VALVE-EXPANSION-EXPANSION-VALVE,Nissan vehicles – KA24 engine - VALVE-EXPANSION (Expansion valve),Air Conditioning System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Air Conditioning System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-EVAPORATOR-ASSY-AC-EVAPORATOR,Nissan vehicles – KA24 engine - Evaporator Assy (Ac evaporator),Air Conditioning System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Air Conditioning System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-RELAY-LIGHT-AC-RELAY,Nissan vehicles – KA24 engine - RELAY-LIGHT (AC relay),Air Conditioning System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Air Conditioning System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-CONT-ASSY-AIR-C-AC-SELECTOR-KNOB-ASSY,Nissan vehicles – KA24 engine - CONT ASSY-AIR C (AC selector knob assy),Air Conditioning System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Air Conditioning System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-AC-GAS,Nissan vehicles – KA24 engine - Ac gas,Air Conditioning System,Gram,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Air Conditioning System; Source item group: Auto Parts; Source unit: Gram,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-SINGLE-WIPER-BLADE-19-WIPER-BALDE,Nissan vehicles – KA24 engine - single wiper blade 19 (Wiper balde),Wiper System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Wiper System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-MOTOR-A-WIPER-WIPER-MOTOR,Nissan vehicles – KA24 engine - MOTOR A-WIPER (Wiper motor),Wiper System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Wiper System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-WIPER-ARM,Nissan vehicles – KA24 engine - Wiper Arm,Wiper System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Wiper System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-WIPER-HOSE,Nissan vehicles – KA24 engine - Wiper hose,Wiper System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Wiper System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-BULB-HEAD-LAMP,Nissan vehicles – KA24 engine - Bulb Head Lamp,Electrical System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Electrical System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-LAMP-ASSY-LH-HEADLAMP-LHS,Nissan vehicles – KA24 engine - LAMP ASSY-LH (Headlamp LHS),Electrical System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Electrical System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
